298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.1500001,298.1500001,298.1500001,298.1500001,298.1500002,298.1500003,298.1500002,298.1500002,298.1500002,298.1500002,298.1500003,298.1500004,298.1500004,298.1500004,298.1500002,298.1500002,298.1500001,298.1500002,298.1500001,298.15,298.1499998,298.1500001,298.1500002,298.1500001,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.1500001,298.1500006,298.1500013,298.1500006,298.1500004,298.1500004,298.150001,298.1500018,298.1500027,298.1500027,298.150002,298.1500015,298.1500012,298.1500013,298.1500018,298.1500022,298.1500023,298.1500016,298.1500008,298.1500005,298.1499996,298.1499994,298.150001,298.1500006,298.1500005,298.1500004,298.1500001,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.1500001,298.1500001,298.1499996,298.1499996,298.1500005,298.1500043,298.1500085,298.1500131,298.1500179,298.1500173,298.1500147,298.1500132,298.1500145,298.1500186,298.1500225,298.1500292,298.1500255,298.1500192,298.1500152,298.1500122,298.1500103,298.15001,298.1500108,298.1500121,298.150008,298.1500076,298.1500056,298.1500053,298.1500055,298.1500019,298.15,298.1499993,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.1499998,298.1500007,298.1499995,298.1500044,298.1500168,298.1500448,298.150048,298.1500522,298.1500651,298.1500716,298.1500884,298.1501274,298.1501871,298.1501759,298.1501515,298.1501332,298.1501202,298.1501337,298.1501468,298.1501766,298.1501899,298.1501392,298.1500932,298.1500766,298.1500659,298.1500649,298.150081,298.1500799,298.150042,298.1500108,298.1500043,298.1499984,298.149998,298.1500001,298.1500001,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.1499997,298.1499998,298.1500023,298.1500067,298.1499693,298.1500733,298.1502497,298.15039,298.1506066,298.1510028,298.1509253,298.150831,298.1508099,298.1508571,298.1509367,298.1511545,298.1514976,298.1518239,298.1514971,298.151109,298.1509746,298.1508556,298.1507692,298.150813,298.150937,298.1509481,298.1505979,298.1504328,298.1503696,298.1503969,298.1501818,298.1500834,298.1499611,298.1499908,298.1500022,298.1499995,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.1500001,298.1500005,298.150001,298.1500052,298.1500158,298.1501373,298.1509429,298.1500266,298.153751,298.1543893,298.1539616,298.1544838,298.1545536,298.1546297,298.1556772,298.1583814,298.1623667,298.1610263,298.1599151,298.1584816,298.1581222,298.1585915,298.1593521,298.1613794,298.162202,298.1580328,298.1557549,298.1546791,298.1544007,298.1545354,298.1556946,298.1560382,298.1537673,298.1519911,298.1504305,298.1498987,298.1499631,298.1500031,298.1500026,298.1500007,298.1500001,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.1499992,298.1499942,298.1500647,298.1500957,298.150663,298.1517929,298.1450503,298.1769581,298.1771908,298.1811536,298.1979213,298.2115245,298.2090756,298.2012407,298.2032336,298.2058455,298.2089615,298.2264434,298.2427905,298.2697184,298.2442329,298.2219778,298.2128776,298.2036659,298.1999984,298.2007357,298.2089078,298.2107517,298.1950864,298.1817437,298.1748046,298.1757944,298.1866893,298.1466335,298.1477047,298.1498672,298.1500101,298.1499917,298.1499994,298.1500001,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.1499999,298.1500015,298.1500077,298.1500347,298.1500944,298.1498776,298.1547034,298.1231218,298.3859447,298.4556209,298.4442417,298.4694257,298.456828,298.4401861,298.4588447,298.5110952,298.6818061,298.9113254,298.8697198,298.7728917,298.6911116,298.6858842,298.6981426,298.7646703,298.8749168,298.9063641,298.6652966,298.5094589,298.4501746,298.4343339,298.4538768,298.4839016,298.5279179,298.4380034,298.2510086,298.1036865,298.1472278,298.1498072,298.1500489,298.1500295,298.1500067,298.1500011,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.1500002,298.1500008,298.1499998,298.149991,298.1499888,298.1496822,298.1435928,298.1557656,297.9576414,298.9600017,299.3877822,299.8589966,300.1836935,301.1541239,301.8458286,301.7689659,301.4258115,301.5298843,301.8672781,302.3796853,303.0633626,304.080631,305.3981803,304.0825288,303.0574017,302.386148,301.879136,301.4971569,301.4364934,301.739167,301.8246697,301.1158028,300.40378,299.9548752,299.4188773,298.7038769,297.9208546,298.1949007,298.1459985,298.1496402,298.1499972,298.1499967,298.1499998,298.1500009,298.1500003,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15,298.15
